"Number","Genebank","Genebank.ID","Species.code","Species","GPS","GPS.1","GPS.2","GPS.3","Place","Province","COUNTRY","Description","Date.of.collecton","Elevation","Ploidy","gps.lat","gps.lon","gps.elevation"
27,"PI",545820,"NYR","nayaritense",21.65,"2139N",-103.133,"10308W","E. Jalisco",NA,"MEX","From highway 54, 10 km SW of Jalpa, 263 km along track towards Tlaltenango","28/09/84",2400,NA,21.65,-103.133333333333,1929.42224121094
28,"PI",583307,"ORO","orocense",78.333,"0750N",-732.333,"07314W","D. Norte de Santander",NA,"COL","On Cerro Oroque, 40.2 km from Abrego, then 300m N from main road, before antennas. Growing in wet stream","19/08/92",3100,NA,7.83333333333333,-73.2333333333333,3228.79321289062
29,"PI",498213,"ORP","orophilum",-89.166,"0855S",-778.333,"07750W","D. Ancash","P. Sihuas","PER","Near Quebrada Santa Cruz",NA,3400,NA,-8.91666666666667,-77.8333333333333,2383.05224609375
30,"PI",570618,"OTI","otites",103.666,"1022N",-72.8,"07248W","D. Cesar",NA,"COL","In El Cinco, 24.7 km from Manaure, in Sierra de Perija","12/08/92",2450,NA,10.3666666666667,-72.8,2251.16381835938
31,"PI",NA,"OXC","oxycarpum",18.14,"18?14 N",-96.07,"096?07 W","E. Veracruz",NA,"MEX","Pedragal de la Joya",NA,2000,NA,NA,NA,NA
32,"PI",498026,"OXC","oxycarpum",183.333,"1820N",-970.666,"09704W","E. Puebla",NA,"MEX","Road from Tehuacan to Oaxaca turning off at Coxcatlan towards Zoquitlan","23/10/83",2640,NA,18.3333333333333,-97.0666666666667,2504.1142578125
33,"PI",561650,"PCJ","paucijugum",-0.65,"0039S",-78.5,"07830W","P. Cotopaxi","D. Macachi","ECU","In Parque Nacional Cotopaxi, 10.5 km east of Proyecto Llamas Station","03/06/91",3610,NA,-0.65,-78.5,3646.69604492188
34,"PI",365365,"PUR","piurana",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,NA,NA,NA,NA
35,"PI",558227,"RCH","rechei",-292.166,"2913S",-67.65,"06739W","P. La Rioja","D. Chilecito","ARG","Los Manzanos, N of Sanogasta","04/04/90",1820,NA,-29.2166666666667,-67.65,1621.02429199219
36,"PI",607887,"SAN","santolallae",-131.833,"1311S",-72.55,"07233W","D. Cusco","P. Urubamba","PER","along Inca train from Machu Pichu N to Winaywayna, about 1.5 km S of Winaywayna","21/03/98",2650,NA,-13.1833333333333,-72.55,2658.60986328125
37,"PI",365363,"SCB","scabrifolium",-94.166,"0925S",-767.833,"07647W","D. Huanuco","P. Llata","PER",NA,NA,3000,NA,-9.41666666666667,-76.7833333333333,2806.26025390625
38,"PI",558114,"SIT","sitiens",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,NA,NA,NA,NA
39,"PI",583320,"SUC","sucubunense",18.333,"0150N",-765.166,"07631W","D. Cauca",NA,"COL","At Impala, 300m from Rio Sucubun, about 9km SE from Valencia (2 hour walk from Valencia), in Valle de las Papas","18/07/92",2950,NA,1.83333333333333,-76.5166666666667,3408.02197265625
40,"PI",570642,"TRN","tarnii",NA,NA,NA,NA,"E. Hidalgo",NA,"MEX","Route 85 from Zimapan to Tamazunchale, turning off at Trancas and going 6 km towards Nicolas Flores","17/10/91",2300,NA,NA,NA,NA
41,"PI",498048,"TRN","tarnii",208.666,"2052N",-992.666,"09916W","E. Hidalgo",NA,"MEX","From Las Trancas, hwy 85, Zimapan to Jacala","09/08/83",2500,NA,20.8666666666667,-99.2666666666667,1860.169921875
42,"PI",473473,"TND","tundalomense",NA,NA,NA,NA,"P. Loja","C. Cuenca","ECU","Nudo De Portete     ??",NA,3400,NA,NA,NA,NA
43,"PI",546033,"SPEC","species",-19.55,"1933S",-649.166,"06455W","D. Chuquisaca","P. Yamparaez","BOL","Miska Mayu, 10 km south of Tarabuco on road to Icla","09/04/87",3000,NA,-19.55,-64.9166666666667,3332.58374023438
44,"PI",546029,"UGT","ugentii",-19.6,"1936S",-646.166,"06437W","D. Chuquisaca","P. Azurduy","BOL","37-38 km beyond the turn-off to Torre Pampa on the Tarabuco-Azurduy road","06/04/87",3450,NA,-19.6,-64.6166666666667,3801.16748046875
45,"PI",498204,"ACG","acroglossum",-106.666,"1040S",-760.833,"07605W","D. Pasco","P. Pasco","PER","Pampania",NA,3500,NA,-10.6666666666667,-76.0833333333333,4261.76220703125
46,"PI",230495,"ACS","acroscopicum",-174.666,"1728S",-700.333,"07002W","D. Tacna","P. Tarata","PER","Chivateria","21/03/53",3450,NA,-17.4666666666667,-70.0333333333333,3115.00659179688
47,"PI",611096,"AJH","ajanhuiri",NA,NA,NA,NA,NA,NA,"BOL",NA,NA,NA,NA,NA,NA,NA
48,"PI",442701,"BLG","blanco-galdosii",-71.833,"0711S",-782.166,"07813W","D. Cajamarca",NA,"PER","Pencalca el Mirador",NA,NA,NA,-7.18333333333333,-78.2166666666667,3765.03076171875
49,"PI",310989,"CHQ","chiquidenum",-69.666,"0658S",-785.666,"07834W","D. Cajamarca","P. Cajamarca","PER","Road from Hualgayo to Cajamarca, Chimola valley","29/03/64",3350,NA,-6.96666666666667,-78.5666666666667,3472.26977539062
50,"PI",473459,"CHQ","chiquidenum",NA,NA,NA,NA,"D. Cajamarca","P. Contumaza","PER","Cerro Chungarran",NA,3200,NA,NA,NA,NA
51,"PI",310942,"CHQ","chiquidenum",-70.833,"0705S",-785.833,"07835W","D. Cajamarca","P. Granja Porcon","PER",NA,"06/06/63",NA,NA,-7.08333333333333,-78.5833333333333,3207.74462890625
52,"PI",275202,"CLR","clarum",NA,NA,NA,NA,"D. Totonicapan",NA,"GTM","22 miles N of Quezaltenango, near the Quezaltenango border","02/11/58",3250,NA,NA,NA,NA
53,"PI",611082,"EDN","edinense",19.15,"1909N",-998.833,"09953W","E. Mexico",NA,"MEX","35.7km SW of Toluca (by posted road signs), shortly SW of entrance to Meson Viejo, 50m downslope, 300m N of Rt.134","20/10/97",2700,NA,19.15,-99.8833333333333,2794.54711914062
54,"PI",497999,"AZN","fendleri arizonicum",282.333,"2814N",-107.45,"10727W","E. Chihuahua",NA,"MEX","30 km along the road to San Juanito from the La Junta to Yepachic Hwy","22/09/82",2040,NA,28.2333333333333,-107.45,2164.77783203125
55,"PI",498000,"AZN","fendleri arizonicum",281.333,"2808N",-107.5,"10730W","E. Chihuahua",NA,"MEX","Near Cebolla, 36 km along the road from the La Junta to Yepachic Hwy","22/09/82",2060,NA,28.1333333333333,-107.5,2248.0908203125
56,"PI",498001,"AZN","fendleri arizonicum",291.333,"2908N",-108.133,"10808W","E. Chihuahua",NA,"MEX","About 5 km W of Madera on the road to Sirupa","23/09/82",2050,NA,29.1333333333333,-108.133333333333,2148.3955078125
57,"PI",566752,"FRN","fernandezianum",-336.333,"3338S",-788.666,"07852W","P. Juan Fernandez",NA,"CHL","150 from Experimental Garden at CONAF (Corporation NationalForest) Revegeta","13/01/91",NA,NA,-33.6333333333333,-78.8666666666667,456.714080810547
58,"PI",566755,"FRN","fernandezianum",NA,NA,NA,NA,"P. Juan Fernandez",NA,"CHL",NA,NA,NA,NA,NA,NA,NA
59,"PI",566756,"FRN","fernandezianum",NA,NA,NA,NA,"P. Juan Fernandez",NA,"CHL",NA,NA,NA,NA,NA,NA,NA
60,"PI",498166,"FLH","flahaultii",50.333,"0502N",-74,"07400W","D. Cundinamarca","P. Zipaguini","COL",NA,NA,NA,NA,5.03333333333333,-74,2616.6728515625
61,"PI",583317,"FLH","flahaultii",NA,NA,NA,NA,"D. Boyaca",NA,"COL","Cluta, Paramo de la Cana","26/07/81",NA,NA,NA,NA,NA
62,"PI",597751,"GND","gandarillasii",-18.5,"1830S",-651.666,"06510W","D. Cochabamba","P. Campero","BOL","29 km S of Aiquile, on road to Sucre","04/03/93",2241,NA,-18.5,-65.1666666666667,1905.03723144531
63,"PI",498245,"IMT","immite",-81.166,"0807S",-790.333,"07902W","D. La Libertad","P. Otuzco","PER","Between Casmiche and  San Chicon  ??",NA,3700,NA,-8.11666666666667,-79.0333333333333,30
64,"PI",365331,"IMT","immite",-98.666,"0952S",-777.333,"07744W","D. Ancash","P. Cerro Jutcapampa","PER","Near Huayan",NA,2400,NA,-9.86666666666667,-77.7333333333333,1998.24096679688
65,"PI",568985,"IRS","irosinum",NA,NA,NA,NA,"D. Cajamarca","P. Cutervo","PER","Cerro Angurra, near Cutervo","05/06/77",2600,NA,NA,NA,NA
66,"PI",583305,"IRS","irosinum",NA,NA,NA,NA,"D. Cajamarca","P. Cutervo","PER","Coronilla",NA,2800,NA,NA,NA,NA
67,"PI",498253,"LGL","lignicaule",-133.333,"1320S",-71.95,"07157W","D. Cusco","P. Calca","PER","Intihuatana",NA,2800,NA,-13.3333333333333,-71.95,2923.814453125
68,"PI",208780,"LGC","longiconicum",94.666,"0928N",-842.166,"08413W","P. Cartago",NA,"CRI","Isle Bonita",NA,NA,NA,9.46666666666667,-84.2166666666667,5
69,"PI",604093,"LGC","longiconicum",103.166,"1019N",-84.8,"08448W","P. Alajuela",NA,"CRI","Monteverde Cloud Forest Preserve, division point of provinces A, P and G","30/11/96",1830,"48",10.3166666666667,-84.8,1666.09326171875
70,"PI",604095,"LGC","longiconicum",100.833,"1005N",-840.666,"08404W","P. Heredia",NA,"CRI","Parque Nacional Braulio Carillo sector Cerro Chompipes","10/12/96",2200,NA,10.0833333333333,-84.0666666666667,2182.76098632812
71,"PI",558090,"LYC","lycopersicoides",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,NA,NA,NA,NA
72,"PI",558091,"LYC","lycopersicoides",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,NA,NA,NA,NA
73,"PI",NA,"LYC","lycopersicoides",-17.46,"17?46 S",-69.57,"069?57 W","D. Tacna","P. Tacna","PER","Near Causuri, 1 km from Palca.",NA,2890,NA,NA,NA,NA
74,"PI",607845,"MCP","macropilosum",239.833,"2359N",-997.166,"09943W","E. Nuevo Leon",NA,"MEX","slopes of Cerro El Viejo, along logging path up hill, ca.6 km by air ENE of town square of Zaragoza","24/09/97",2850,NA,23.9833333333333,-99.7166666666667,3170.6220703125
75,"PI",245087,"MAG","maglia",-329.666,"3258S",-715.333,"07132W","P. Valparaiso","D. Vina del Mar","CHL","Between ViÇña del Mar and Concon","05/01/58",NA,NA,-32.9666666666667,-71.5333333333333,96.5407791137695
76,"PI",558316,"MAG","maglia",-32.55,"3233S",-714.333,"07126W","P. Valparaiso","D. Petorca","CHL","Ca. 500 m S of beach at Zapallar, at house of Rosa Perez","02/03/91",10,NA,-32.55,-71.4333333333333,451.937591552734
77,"PI",607884,"MRN","marinasense",-13.6,"1336S",-718.833,"07153W","D. Cusco","P. Quispicanchis","PER","S of Cusco, E of main road through town, direction Granja Kaira San Geronimo to km7.5, 300m uphill","03/03/98",3550,NA,-13.6,-71.8833333333333,3821.59643554688
78,"PI",619119,"MRL","morelliforme",196.166,"1937N",-97.05,"09703W","E. Veracruz",NA,"MEX","On road from Perote to Jalapa just E of Toxtlacoaya, 3.6 km W of Las Vigas, 20 m off S side of road.","02/10/97",2300,NA,19.6166666666667,-97.05,2248.97900390625
79,"PI",545720,"MRL","morelliforme",183.333,"1820N",-970.666,"09704W","E. Puebla",NA,"MEX","Road from Tehuacan to Oaxaca, turning off at Coxcatlan, 20 km to Zoquitlan","23/10/83",2640,NA,18.3333333333333,-97.0666666666667,2504.1142578125
80,"PI",545775,"MRL","morelliforme",16.5,"1630N",-923.166,"09219W","E. Chiapas",NA,"MEX","Hwy 190 from San Cristobal de las Casas to Comitan","23/10/84",2400,NA,16.5,-92.3166666666667,2300.25317382812
81,"PI",498159,"MSP","moscopanum",2.4,"0224N",-76.45,"07627W","D. Cauca",NA,"COL","Coconuco",NA,NA,NA,2.4,-76.45,2768.67114257812
82,"PI",570636,"ORO","orocense",7.85,"0751N",-732.333,"07314W","D. Norte de Santander",NA,"COL","On Cerro Oroque (also known as Jurisdicciones), 46 km from Abrego, growing","17/08/92",3350,NA,7.85,-73.2333333333333,3120.72119140625
83,"PI",498209,"ORP","orophilum",-92.666,"0916S",-772.666,"07716W","D. Ancash","P. Huari","PER","Acopalca, in route from Huari to San Luis",NA,3200,NA,-9.26666666666667,-77.2666666666667,4434.85986328125
84,"PI",498212,"ORP","orophilum",-91.666,"0910S",-776.666,"07740W","D. Ancash","P. Yungay","PER","Maria Huayta",NA,3750,NA,-9.16666666666667,-77.6666666666667,3082.62231445312
85,"PI",545776,"OXC","oxycarpum",174.666,"1728N",-96.5,"09630W","E. Oaxaca",NA,"MEX","21.8 km N of Ixtlan de Juarez on Hwy 175 to Tuxtepec","16/10/84",2870,NA,17.4666666666667,-96.5,2903.48461914062
86,"PI",545779,"OXC","oxycarpum",19.55,"1933N",-971.666,"09710W","E. Veracruz",NA,"MEX","Turning off route 140 between Perote and Las Vigas, S from Sierra de Agua","01/11/84",2840,NA,19.55,-97.1666666666667,3067.6533203125
87,"PI",587114,"PRM","paramoense",87.833,"0847N",-70.8,"07048W","E. Merida",NA,"VEN","50-200 m S of S end of Laguna Negra, 5.5. km ESE (by air) from Apartaderos","02/09/92",3480,NA,8.78333333333333,-70.8,3817.02563476562
88,"PI",604202,"PRM","paramoense",8.75,"0845N",-708.666,"07052W","E. Merida",NA,"VEN","growing on SW side of Quebrada Saisay, ca. 200 m from middle of valley","07/09/92",3500,NA,8.75,-70.8666666666667,3610.24072265625
89,"PI",583299,"PCJ","paucijugum",-0.6,"0036S",-786.333,"07838W","P. Cotopaxi","D. Cotopaxi","ECU","In Parque Nacional Cotopaxi, 1.3 km east of center of fenced in deer (venad","21/05/91",3630,NA,-0.6,-78.6333333333333,3312.59155273438
90,"PI",561651,"PCJ","paucijugum",-1.3,"0118S",-787.666,"07846W","P. Cotopaxi","D. Simiatug","ECU","30.5 km southeast of Ambato on road to Guaranda","05/06/91",3580,NA,-1.3,-78.7666666666667,3528.50805664062
91,"PI",590922,"PCS","paucissectum",NA,NA,NA,NA,"D. Piura","P. Huancabamba","PER","Cashcapampa",NA,NA,NA,NA,NA,NA
92,"PI",595478,"SMB","sambucinum",20.8,"2048N",-100.433,"10026W","E. Queretaro",NA,"MEX","Foot-hills of El Buey, mountain","23/08/93",2050,NA,20.8,-100.433333333333,2092.1357421875
93,"PI",607894,"SND","sandemanii",-16.4,"1624S",-714.333,"07126W","D. Arequipa","P. Arequipa","PER","E side Quebrada Honda, 25m from base, 100m upstream N from Arequipa-Chiguata road, at point 59.8 km ENE of PanAmHighway","09/04/98",2750,NA,-16.4,-71.4333333333333,2847.44140625
94,"PI",607895,"SND","sandemanii",-162.833,"1617S",-715.166,"07131W","D. Arequipa","P. Arequipa","PER","18 km N of main town square (Plaza de Armas) of Arequipa on road to Cabreria, then 100-150 m W or road","09/04/98",2600,NA,-16.2833333333333,-71.5166666666667,3227.650390625
95,"PI",558115,"SIT","sitiens",NA,NA,NA,NA,NA,NA,"CHL",NA,NA,NA,NA,NA,NA,NA
96,"PI",590926,"TUQ","tuquerrense",NA,NA,NA,NA,"D. Narino","P. Cumbal","COL","Tambillo, at Llano Grande, farm of Billy Bert","29/08/80",NA,NA,NA,NA,NA
97,"PI",619114,"VLR","velardei",-13.5,"1330S",-72.8,"07248W","D. Apurimac","P. Abancay","PER","Marchancay, 5 km walk NW uphill of Cachora","22/03/98",3140,NA,-13.5,-72.8,3080.37158203125
98,"PI",614703,"YUN","yungasense",-16.4,"1624S",-676.333,"06738W","D. La Paz","P. Nor Yungas","BOL","1.5km downstream E of Rio Tamampaya, after hanging bridge in Puente Villa, on river floodplain","20/03/93",1243,NA,-16.4,-67.6333333333333,1266.75988769531
99,"GLKS",32830,"ACH","achacachense",NA,NA,NA,NA,"La Paz",NA,"BOL","Between Achacachi & Sorata, ~ 2km and ~3km towards Sorata from highest point on road.",NA,3900,NA,NA,NA,NA
100,"GLKS",32436,"ACS","acroscopicum",-15.2,"1512S",-729.333,"07256W","D. Arequipa","P. Cotahuasi","PER","Ayachani, above Cotahuasi",NA,3300,NA,-15.2,-72.9333333333333,2631.70068359375
101,"GLKS",32292,"AGF","agrimonifolium",168.166,"1649N",-925.833,"09235W","E. Chiapas",NA,"MEX","Road from San Cristobal de las Casas to Cerro Zontehuitz","20/10/84",2750,NA,16.8166666666667,-92.5833333333333,2794.39331054688
102,"GLKS",35297,"ABZ","albornozii",-4,"0400S",-792.833,"07917W","P. Loja","D. Catamayo","ECU","300-500 m south of old road from Loja-Catamayo","01/05/91",2350,NA,-4,-79.2833333333333,2489.4091796875
103,"GLKS",35298,"ABZ","albornozii",-4,"0400S",-792.666,"07916W","P. Loja","D. Catamayo","ECU","On old road from Loja to Catamayo, on south slope of Cerro Villonaco","01/05/91",2630,NA,-4,-79.2666666666667,2387.70385742188
104,"GLKS",32282,"AMB","ambosinum",-82.666,"0816S",-77.85,"07751W","D. Ancash","P. Yana-Cocha","PER","Near Conchucos",NA,3500,NA,-8.26666666666667,-77.85,3242.595703125
105,"GLKS",35299,"AMB","ambosinum",NA,NA,NA,NA,"D. Cusco",NA,"PER","Chacan","14/01/66",NA,NA,NA,NA,NA
106,"GLKS",1638,"ADR","andreanum",1.2,"0112N",-769.166,"07655W","D. Cauca",NA,"COL","Comisaria de Putumayo, valley of Sibundoy, 1.5 km from Santiago","30/08/65",2100,NA,1.2,-76.9166666666667,2105.60620117188
107,"GLKS",1639,"ADR","andreanum",-0.5333,"0032S",-779.166,"07755W","P. Napo","D. Cosanga","ECU","About 2 hr. walk west of Baeza-Tena Road, south of Rio Bermejo","02/06/91",2100,NA,-0.533333333333333,-77.9166666666667,2281.0830078125
108,"GLKS",5303,"ADR","andreanum",-21.666,"0210S",-784.166,"07825W","P. Morona Santiago",NA,"ECU","About 16 km NW of San Vicente, on old footpath on W side of Rio Upano","19/06/91",2650,NA,-2.16666666666667,-78.4166666666667,3158.82006835938
109,"GLKS",30082,"ARP","aracc-papa",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,NA,NA,NA,NA
110,"GLKS",30081,"ARP","aracc-papa",NA,NA,NA,NA,"D. Cusco",NA,"PER","San Sebastian",NA,NA,NA,NA,NA,NA
111,"GLKS",32832,"ARZ","arnezii",-19.6,"1936S",-64.65,"06439W","D. Chuquisaca","P. Azurduy","BOL","On north edge of Abra Kasa going towards Tarabuco.  59 km from Azurduy","01/04/86",2600,NA,-19.6,-64.65,3657.29296875
112,"GLKS",32833,"ARZ","arnezii",-19.55,"1933S",-64.65,"06439W","D. Chuquisaca","P. Azurduy","BOL","26 km from Abra Kasa (85 km from Azurduy) on the road to Tarabuco","01/04/86",3200,NA,-19.55,-64.65,3934.69311523438
113,"GLKS",32834,"ARZ","arnezii",-195.666,"1934S",-645.333,"06432W","D. Chuquisaca","P. Azurduy","BOL","About 5 km before San Pedro on the road from Corralon Mayu","08/04/87",2000,NA,-19.5666666666667,-64.5333333333333,2487.748046875
114,"GLKS",32836,"AST","astleyi",-194.333,"1926S",-65.4,"06524W","D. Potosi","P. Saavedra","BOL","78 km from Potosi on road to Sucre, 34 km beyond Betanzos","22/03/86",3280,NA,-19.4333333333333,-65.4,3727.74194335938
115,"GLKS",35309,"BLG","blanco-galdosii",NA,NA,NA,NA,NA,NA,"PER",NA,NA,NA,NA,NA,NA,NA
116,"GLKS",2717,"BST","brachistotrichum",NA,NA,NA,NA,NA,NA,"MEX",NA,NA,NA,NA,NA,NA,NA
117,"GLKS",32801,"BST","brachistotrichum",NA,NA,NA,NA,"E. Aguascalientes",NA,"MEX","Collected between Aguascalientes and Calvillo",NA,NA,NA,NA,NA,NA
118,"GLKS",32714,"BST","brachistotrichum",291.333,"2908N",-106.083,"10605W","E. Chihuahua",NA,"MEX","Majalca, 40 miles NW of Chihuahua, near the village","14/08/58",2150,"24",29.1333333333333,-106.083333333333,1629.85180664062
119,"GLKS",35399,"DPH","bulbocastanum dolichophyllum",190.166,"1901N",-99.1,"09906W","E. Morelos",NA,"MEX","Km 90 on railway from Mexico City to Cuernavaca, 0.5 km above El Parque","05/10/58",2300,NA,19.0166666666667,-99.1,2311.7939453125
120,"GLKS",35322,"PTT","bulbocastanum partitum",151.666,"1510N",-915.166,"09131W","D. Huehuetenango",NA,"GTM","Road from Huehuetenango to Quezaltenango, 5 km S of Malacatancito","31/10/58",1800,NA,15.1666666666667,-91.5166666666667,2036.31811523438
121,"GLKS",35323,"PTT","bulbocastanum partitum",161.666,"1610N",-92.2,"09212W","E. Chiapas",NA,"MEX","9.4 km S of Route 190 (from near Teopisca), to Las Rosas","27/09/88",1720,NA,16.1666666666667,-92.2,1378.28479003906
122,"GLKS",5328,"CJM","cajamarquense",-69.666,"0658S",-791.833,"07911W","D. Cajamarca","P. Cajamarca","PER","Above Chiquiden on the highway from Cajamarca to Chiclayo","30/03/64",2800,NA,-6.96666666666667,-79.1833333333333,1014.25384521484
123,"GLKS",32175,"SPEC","species",-157.833,"1547S",-686.666,"06840W","D. La Paz","P. Larecaja","BOL","Near Mines of Martinsito, District of Sorata on the slopes of Illampu","09/03/78",4000,NA,-15.7833333333333,-68.6666666666667,3076.74609375
124,"GLKS",99,"CPH","cardiophyllum",NA,NA,NA,NA,"E. Michoacan",NA,"MEX",NA,NA,NA,"24",NA,NA,NA
125,"GLKS",30162,"CHC","chacoense",NA,NA,NA,NA,"P. Tucuman",NA,"ARG",NA,NA,NA,NA,NA,NA,NA
126,"GLKS",30161,"CHC","chacoense",NA,NA,NA,NA,NA,NA,"ARG","North of Argentina",NA,NA,NA,NA,NA,NA
